Date,All Other Carloads,Chemicals,Coal,Coke,Farm Products  Excluding Grain,Food Products,Grain,Grain Mill Products,Petroleum Products,Primary Forest Products,Covered_Hopper_lease_rate,QTR1,QTR2 ,QTR3,QTR4
4/1/2016,5948.80,32086.60,67238.60,4047.40,853,6190,21330.4,9336.8,10777.2,1352.2,781.15,0,1,0,0
7/1/2016,6244.00,29607.60,74779.20,4279.60,709,5818.2,21397.2,9370.8,10804.6,1274,734.55,0,0,1,0
10/1/2016,5783.00,30013.75,89236.25,4260.75,963,6265.25,24468,8856.75,10694.25,1145.75,683.55,0,0,0,1
1/1/2017,5029.50,30332.00,82170.00,4139.75,905,5667,22746.5,9145.75,10180.5,1131,740.15,1,0,0,0
4/1/2017,6251.00,31668.60,80006.20,4242.00,927.4,6311.2,23599.2,9093.2,9899.4,1253,718.90,0,1,0,0
7/1/2017,6423.50,31186.50,86578.50,4216.50,828,5825.25,22363.75,9210,9395.5,1227.75,698.35,0,0,1,0
10/1/2017,5334.25,30437.50,88481.25,4145.00,898,5872.25,20364,8580,8876.25,1169,530.15,0,0,0,1
1/1/2018,5442.00,31398.25,82463.50,4187.25,850.5,5768,21360.75,8911.75,10250.5,1133.5,494.00,1,0,0,0
4/1/2018,5821.25,33450.75,84964.25,4011.00,830.5,6090.75,23568.25,9506.5,9820.5,1062.25,591.20,0,1,0,0
7/1/2018,6432.00,32350.50,84190.25,4229.75,795.25,5784,23525.5,9930,11243.25,1146.25,547.65,0,0,1,0
10/1/2018,6089.25,31725.00,87126.75,4228.25,788.5,6245,21601.75,9202.25,12558.25,1057.25,593.85,0,0,0,1
1/1/2019,5632.00,32244.25,85535.00,4145.00,935,5910.5,21983.5,8751.75,12973.75,953.25,722.30,1,0,0,0
4/1/2019,5576.00,31931.75,68722.00,3587.00,718,5881.75,20584.5,8957.25,11893,1136.25,658.20,0,1,0,0
7/1/2019,6081.25,32511.25,76663.00,4019.50,735.75,5813.75,21813.75,8801.25,13276,1089,579.65,0,0,1,0
10/1/2019,6095.50,31801.25,79530.50,3375.00,806.5,5923.25,18207.5,8229.5,11868.75,1164.25,569.25,0,0,0,1
1/1/2020,6009.50,31102.25,69302.00,3625.75,871.5,5567.25,20272,8730.75,13177.25,1111,608.45,1,0,0,0
4/1/2020,6103.00,33402.00,57819.25,3544.00,947,5877.25,20995.5,9243,12315,1155,696.35,0,1,0,0
7/1/2020,6227.50,28275.75,50519.00,2620.00,817.25,5341.75,20785,8770.25,9666.5,917.75,641.60,0,0,1,0
10/1/2020,5977.00,30183.00,59903.60,2883.80,776.4,6060.6,23642.4,8775.6,10446.6,970.8,550.80,0,0,0,1
1/1/2021,5668.20,32240.00,59367.80,2975.00,945.6,5579,25751.8,8928.2,11091.6,869,524.20,1,0,0,0
4/1/2021,6100.40,31211.20,62137.20,3416.20,900.6,5961.2,25586.6,9470,10923.4,1003.6,615.55,0,1,0,0
7/1/2021,6493.40,32892.60,67031.60,3524.00,719.8,5645.4,21430.6,9082.4,10147.2,1031.8,552.20,0,0,1,0
