Date,Chemicals,Coal,Coke,Crushed_Stone_ Sand__Gravel,Iron and Steel Scrap1,Lumber__Wood,Metallic Ores,Motor_Vehicles__Parts,Nonmetallic Minerals,Petroleum Products,Primary Forest Products,Primary Metal Products,Pulp__Paper,Waste__Nonferrous_Scrap,Stone_Clay__Glass_Products,Tankcar_lease_rate,QTR1,QTR2 ,QTR3,QTR4
10/1/2016,30013.75,89236.25,4260.75,22707.5,3305.5,3201.75,5821.25,18369,5065,10694.25,1145.75,8214.25,5651.75,4142.25,7691.75,746,0,0,0,1
1/1/2017,30332,82170,4139.75,16000.25,3111.25,2840.25,4887.75,16131.75,4022.25,10180.5,1131,8240.5,5855.5,3750.5,5982.25,705.5,1,0,0,0
4/1/2017,31668.6,80006.2,4242,22346.8,4019.4,3409.6,3831.6,17861,4461.2,9899.4,1253,9360.6,5513.6,3658.2,7445.6,639.5,0,1,0,0
7/1/2017,31186.5,86578.5,4216.5,25457.5,3759,3523.5,6029.5,17110,4717.75,9395.5,1227.75,9339.5,5657.25,4027.75,8040.75,676.5,0,0,1,0
10/1/2017,30437.5,88481.25,4145,25118.75,3945.75,3266.75,6612,16561.75,3956,8876.25,1169,9178.75,5599.25,3730.75,7872.75,783,0,0,0,1
1/1/2018,31398.25,82463.5,4187.25,19702.25,3320.25,3032,6606.5,15474.5,3666,10250.5,1133.5,8477,5920.75,3396.5,6848,660,1,0,0,0
4/1/2018,33450.75,84964.25,4011,24046.75,4093.25,3559.5,4588,17101.75,3676.75,9820.5,1062.25,9877.25,5564.75,3460.5,7595.5,621,0,1,0,0
7/1/2018,32350.5,84190.25,4229.75,27278.75,3997,3635.75,6626.5,17168.5,3828.5,11243.25,1146.25,9995.75,5803,3854.25,8327,700,0,0,1,0
10/1/2018,31725,87126.75,4228.25,24371.5,3766.75,3426.25,6702.25,16343,4004.5,12558.25,1057.25,9673.75,5775,3938.75,8054.5,761,0,0,0,1
1/1/2019,32244.25,85535,4145,18943.75,3684,2980.5,6256,15668.75,3541.75,12973.75,953.25,9063.5,6006.75,3649.75,6613.75,942.5,1,0,0,0
4/1/2019,31931.75,68722,3587,21866.25,3972.5,3387.25,3828,17404,3908.25,11893,1136.25,9647.25,5330.75,3426.5,7447,984.5,0,1,0,0
7/1/2019,32511.25,76663,4019.5,24596,3674,3366.5,6483.25,16929.25,4023.75,13276,1089,8874.5,5236.25,3693.75,8126,1068.5,0,0,1,0
10/1/2019,31801.25,79530.5,3375,22539,3367.75,3151.5,6436.75,15976,4240.25,11868.75,1164.25,8313,5338.25,3472.25,8334.5,1085,0,0,0,1
1/1/2020,31102.25,69302,3625.75,17345,3132.25,2856.75,6395.5,15148.75,3589,13177.25,1111,8161.5,5607,3295.5,6725,958.5,1,0,0,0
4/1/2020,33402,57819.25,3544,19245.75,3878,3464.25,3754.75,14640.75,3671.5,12315,1155,8597.75,5103.25,3460.5,7700.75,777,0,1,0,0
7/1/2020,28275.75,50519,2620,17931.25,3153.5,3087.25,2509,11804.25,3931.75,9666.5,917.75,6087,4708,3443.25,7968,636.5,0,0,1,0
10/1/2020,30183,59903.6,2883.8,17816.4,3707,3218.6,5005.6,16321.2,3680.4,10446.6,970.8,7743.2,5177.4,3633.6,7986,685,0,0,0,1
1/1/2021,32240,59367.8,2975,14164.6,3356.8,2960.2,6237.8,13731.6,2957.4,11091.6,869,7607,5510,3437.6,6885.6,770,1,0,0,0
4/1/2021,31211.2,62137.2,3416.2,18661.4,3956.6,3482.4,4672.8,14356,3585.6,10923.4,1003.6,9101.6,5591,3552.2,7561.6,838,0,1,0,0
7/1/2021,32892.6,67031.6,3524,19317,4112.8,3504.2,6503,12356.4,3996.6,10147.2,1031.8,9240.4,5772.6,3824,8420.6,772,0,0,1,0
